,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
84,7762.0,7820.03,7422.68,2017-11-18,30334340.33,0.007987237081668042,57,130,187,3.511560400211603e+24,2.631e-05,2.945e-05,2.381e-05,187.31,0.03480629772012911,1,55.25328469580101,12.114783609822648,0,12.6793457883639,0.6379595619877302,0
85,8053.41,8122.86,7650.29,2017-11-19,30519556.55,0.03685557127402639,114,124,238,7.259785659988289e+24,2.459e-05,2.7000000000000002e-05,2.389e-05,112.24,-0.06760923882410097,1,107.32633935536518,45.71009174374322,1,58.506405610973225,13.58333133934839,0
86,8212.84,8319.49,7954.18,2017-11-20,31744413.46,0.019603179037433804,66,140,206,2.484432654081968e+24,2.437e-05,2.551e-05,2.389e-05,114.41,-0.008986988590985234,1,14.266402108274923,0.8076596393449876,1,31.11908198359404,3.8428462837368413,0
87,8119.68,8399.23,7802.72,2017-11-21,36818922.85,-0.011408038728133008,72,129,199,1.0838631024179355e+25,2.422e-05,2.527e-05,2.308e-05,123.74,-0.006174129512169557,1,9.801126750901641,0.38119875233043093,1,18.109700052978884,1.3014334762258257,1
88,8206.09,8322.29,8091.39,2017-11-22,29390807.74,0.010585817014503007,92,126,218,4.884825831683563e+24,2.8000000000000003e-05,2.863e-05,2.355e-05,172.03,0.1450257720502588,1,230.2212759240744,210.32474558773626,0,16.804463546887035,1.1205952186454136,0
89,8000.8,8260.16,8000.79,2017-11-23,33385654.07,-0.025335024864375555,77,159,236,3.9720732723860055e+24,2.704e-05,2.861e-05,2.626e-05,185.1,-0.03488725900044187,1,55.38180674391967,12.171208405639124,1,40.2181051504656,6.418634848785276,1
90,8139.81,8368.04,7851.47,2017-11-24,33101339.41,0.0172253015385202,85,154,239,4.2036766336233334e+24,2.879e-05,2.899e-05,2.508e-05,145.81,0.06271085344932104,1,99.55039363891267,39.3265114034222,0,27.344318477414387,2.967110130929463,0
91,8700.02,8734.47,8091.09,2017-11-25,35915449.02,0.06655848628978056,88,180,268,4.224308040108871e+24,2.639e-05,2.912e-05,2.573e-05,167.21,-0.08704295410885088,1,138.1764059714579,75.7647585999552,1,105.65832141819698,44.30032097186907,0
92,9129.05,9349.98,8606.3,2017-11-26,37236340.57,0.048136312110630186,126,182,308,7.092149849906213e+24,2.415e-05,2.674e-05,2.375e-05,168.67,-0.0887007704166507,1,140.80810777337618,78.67826672507375,1,76.41402652590789,23.171045436120025,0
93,9641.71,9655.48,9113.27,2017-11-27,43174708.49,0.054636842164452304,122,171,293,3.520782085812474e+24,2.426e-05,2.48e-05,2.197e-05,199.23,0.004544523417321145,1,7.214207273726793,0.20652693090580254,0,86.73329807341827,29.851845217032732,0
